176.42.135.7\2955577095\^^01\2022-Oct-19 10:23:27\^1aimbot
176.42.129.64\2955575616\^^01\2022-Nov-04 01:01:06\^1aimbot
185.107.56.163\3110811811\aimbotter\2022-Nov-12 03:12:21\^1aimbot
185.107.56.105\3110811753\aimbotter\2022-Nov-12 03:15:18\^1aimbot
185.107.56.212\3110811860\aimbotter\2022-Nov-12 03:15:18\^1aimbot
185.107.56.80\3110811728\aimbotter\2022-Nov-12 03:15:18\^1aimbot
149.34.244.146\2502096018\^^11Jumper\2022-Nov-13 12:54:03\^1ddos attack
169.150.196.139\2845230219\^^11Jumper\2022-Nov-13 12:54:19\^1ddos attack
93.190.141.59\1572769083\^^11Jumper\2022-Nov-13 12:56:55\^1ddos attack
185.183.34.32\3115786784\^^11Jumper\2022-Nov-13 13:01:49\^1ddos attack
185.183.34.166\3115786918\^^11Jumper\2022-Nov-13 13:09:07\^1ddos attack
93.190.138.197\1572768453\^^11Jumper\2022-Nov-13 13:12:00\^1ddos attack
185.183.34.46\3115786798\^^11Jumper\2022-Nov-13 14:53:36\^1ddos attack
149.34.244.172\2502096044\^^11Jumper\2022-Nov-13 15:17:06\^1ddos attack
93.190.138.195\1572768451\^^11Jumper\2022-Nov-13 15:24:18\^1ddos attack
146.70.99.208\2454086608\^^11Jumper.ru\2022-Nov-13 17:02:08\^1ddos attack
146.70.99.20\2454086420\^^11Jumper.ru\2022-Nov-13 17:02:15\^1ddos attack
212.102.63.70\3563470662\^^11Jumper.ru\2022-Nov-13 17:21:03\^1ddos attack
185.4.227.92\3104105308\^^11Jumper.ru\2022-Nov-13 17:22:39\^1ddos attack
87.249.132.123\1475970171\^^11Jumper.ru\2022-Nov-13 17:23:24\^1ddos attack
104.223.100.96\1759470688\^^11Jumper.ru\2022-Nov-13 17:26:52\^1ddos attack
